DESTPORT;PROTOCOL;SERVICE;SERVICE
445;TCP;SMBv1;4
445;TCP;SMBv23;231
450;TCP;Mining;7
452;TCP;Mining;4
455;TCP;Mining;3
456;TCP;Mining;3
457;TCP;Mining;2
458;TCP;Mining;2
459;TCP;Mining;1
465;TCP;GMail;36
465;TCP;Google;38
500;UDP;IPsec;5
514;UDP;Syslog;299
587;TCP;GMail;4
587;TCP;Google;27
587;TCP;MQTT;65
587;TCP;SMTP;246
631;TCP;Unknown;7
667;TCP;Mining;118
853;TCP;Unknown;107
982;UDP;Unknown;1
993;TCP;Apple;78
993;TCP;GMail;423
993;TCP;Google;333
993;TCP;IMAPS;318
993;TCP;TLS;9
995;TCP;GMail;90
995;TCP;Google;51
1001;TCP;Unknown;1
1001;UDP;Unknown;2
1003;TCP;Unknown;37
1024;TCP;Unknown;19
1024;UDP;BitTorrent;37
1024;UDP;Unknown;4
1025;TCP;Unknown;7
1025;UDP;BitTorrent;9
1025;UDP;Unknown;1
1026;TCP;Unknown;4
1026;UDP;BitTorrent;6
1027;TCP;Unknown;6
1027;UDP;BitTorrent;3
1027;UDP;Unknown;1
1028;TCP;Unknown;3
1028;UDP;BitTorrent;4
1028;UDP;Unknown;1
1029;TCP;Unknown;3
1029;UDP;BitTorrent;2
1030;UDP;BitTorrent;3
1031;UDP;BitTorrent;2
1032;UDP;BitTorrent;3
1033;TCP;Unknown;4
1033;UDP;BitTorrent;3
1033;UDP;Unknown;1
1034;TCP;Unknown;6
1034;UDP;BitTorrent;3
1035;TCP;Amazon;2
1035;TCP;HTTP;1
1035;UDP;BitTorrent;4
1036;UDP;BitTorrent;4
1037;TCP;Unknown;4
1037;UDP;BitTorrent;2
1037;UDP;Unknown;1
1039;UDP;BitTorrent;1
1040;UDP;BitTorrent;1
1041;TCP;Unknown;3
1041;UDP;BitTorrent;1
1041;UDP;Unknown;1
1043;TCP;Unknown;2
1043;UDP;BitTorrent;3
1044;UDP;BitTorrent;2
1047;UDP;BitTorrent;2
1048;TCP;Unknown;2
1048;UDP;BitTorrent;2
1048;UDP;Unknown;1
1049;TCP;Unknown;1
1049;UDP;BitTorrent;2
1050;UDP;BitTorrent;1
1052;TCP;Unknown;3
1052;UDP;BitTorrent;1
1053;UDP;SkypeCall;18
1053;UDP;Unknown;154
1058;TCP;Unknown;1
1058;UDP;BitTorrent;3
1058;UDP;Unknown;1
1059;TCP;Unknown;2
1059;UDP;BitTorrent;1
1059;UDP;Unknown;1
1061;TCP;Unknown;2
1061;UDP;BitTorrent;2
1066;TCP;Unknown;2
1066;UDP;BitTorrent;1
1068;TCP;Unknown;1
1068;UDP;BitTorrent;1
1070;UDP;BitTorrent;1
1075;TCP;RDP;1
1077;UDP;BitTorrent;5
1079;TCP;Unknown;2
1079;UDP;BitTorrent;1
1079;UDP;Unknown;1
1080;UDP;BitTorrent;1
1081;UDP;BitTorrent;1
1083;UDP;BitTorrent;1
1085;UDP;BitTorrent;2
1086;TCP;Unknown;3
1086;UDP;Unknown;1
1087;UDP;BitTorrent;1
1089;TCP;Unknown;5
1089;UDP;Unknown;1
1104;UDP;Signal;1
1108;UDP;BitTorrent;1
1110;TCP;Unknown;2
1110;UDP;BitTorrent;1
1112;TCP;Unknown;3
1112;UDP;Unknown;1
1113;UDP;BitTorrent;1
1114;TCP;Unknown;1
1114;UDP;BitTorrent;1
1119;TCP;Starcraft;8
1129;UDP;BitTorrent;1
1130;UDP;BitTorrent;1
1131;UDP;BitTorrent;1
1133;UDP;BitTorrent;1
1134;TCP;Unknown;3
1134;UDP;BitTorrent;1
1135;UDP;BitTorrent;2
1136;UDP;BitTorrent;1
1138;UDP;BitTorrent;2
1139;UDP;BitTorrent;1
1143;UDP;BitTorrent;1
1148;UDP;BitTorrent;1
1149;UDP;BitTorrent;1
1150;UDP;BitTorrent;1
1151;UDP;BitTorrent;1
1152;TCP;Unknown;1
1152;UDP;Unknown;1
1153;UDP;BitTorrent;1
1158;TCP;Unknown;1
1158;UDP;BitTorrent;1
1161;UDP;BitTorrent;1
1162;UDP;BitTorrent;2
1170;UDP;BitTorrent;1
1171;UDP;BitTorrent;1
1176;UDP;BitTorrent;1
1182;TCP;Unknown;1
1183;UDP;BitTorrent;1
1190;UDP;BitTorrent;1
1194;UDP;OpenVPN;3
1195;TCP;Unknown;3
1195;UDP;BitTorrent;2
1197;TCP;Unknown;1
1197;UDP;BitTorrent;1
1198;TCP;Unknown;1
1198;UDP;Unknown;1
1204;UDP;BitTorrent;1
1212;UDP;BitTorrent;1
1215;UDP;BitTorrent;1
1220;UDP;BitTorrent;2
1229;UDP;BitTorrent;1
1236;UDP;BitTorrent;1
1244;TCP;VNC;6
1266;TCP;Unknown;2
1266;UDP;Unknown;1
1272;TCP;RDP;1
1272;UDP;BitTorrent;1
1276;TCP;Unknown;1
1276;UDP;BitTorrent;1
1298;UDP;BitTorrent;1
1301;UDP;BitTorrent;1
1306;TCP;Unknown;1
1306;UDP;Unknown;1
1309;TCP;Unknown;3
1309;UDP;BitTorrent;1
1326;TCP;Unknown;3
1326;UDP;BitTorrent;1
1326;UDP;Unknown;1
1359;TCP;Unknown;1
1359;UDP;BitTorrent;1
1391;TCP;RDP;1
1413;TCP;Unknown;1
1413;UDP;BitTorrent;1
1431;UDP;BitTorrent;2
1437;TCP;Unknown;3
1437;UDP;BitTorrent;1
1446;UDP;STUN;1
1464;UDP;BitTorrent;1
1466;TCP;Unknown;1
1466;UDP;BitTorrent;1
1466;UDP;Unknown;1
1480;UDP;BitTorrent;1
1492;UDP;BitTorrent;1
1499;UDP;STUN;1
1500;TCP;Unknown;2
1500;UDP;BitTorrent;2
1500;UDP;Unknown;1
1507;UDP;BitTorrent;1
1516;UDP;STUN;1
1517;UDP;BitTorrent;1
1521;TCP;Oracle;95
1559;UDP;STUN;1
1560;TCP;Unknown;7
1567;TCP;RDP;1
1567;UDP;STUN;1
1585;UDP;BitTorrent;1
1646;TCP;Unknown;1
1646;UDP;Unknown;1
1651;UDP;BitTorrent;1
1674;UDP;BitTorrent;1
1688;TCP;Cloudflare;25
1688;TCP;Unknown;419
1696;TCP;RDP;1
1716;UDP;Unknown;32
1731;UDP;BitTorrent;1
1736;UDP;Signal;1
1740;UDP;Signal;1
1746;TCP;Unknown;1
1746;UDP;Unknown;1
1755;TCP;Unknown;3
1755;UDP;BitTorrent;2
1767;UDP;Signal;1
1779;UDP;BitTorrent;1
1787;TCP;RDP;1
1795;UDP;BitTorrent;2
1795;UDP;Signal;1
1796;UDP;Signal;1
1802;UDP;Signal;1
1808;UDP;Signal;1
1814;TCP;Unknown;1
1814;UDP;BitTorrent;1
1841;UDP;BitTorrent;1
1843;TCP;Unknown;3
1843;UDP;Unknown;1
1846;UDP;BitTorrent;1
1866;UDP;STUN;1
1870;TCP;RDP;1
1887;TCP;Unknown;14
1894;UDP;BitTorrent;1
1900;TCP;Unknown;406
1900;UDP;SSDP;2
1916;UDP;BitTorrent;1
1930;TCP;RDP;1
1950;TCP;Amazon;2
1950;TCP;Skype;2
1950;TCP;Unknown;1
1964;UDP;Signal;2
1976;UDP;BitTorrent;1
1988;TCP;Unknown;3
1988;UDP;BitTorrent;1
1999;TCP;Unknown;1
1999;UDP;Unknown;1
2004;UDP;BitTorrent;1
2020;TCP;Unknown;2
2020;UDP;BitTorrent;1
2026;UDP;BitTorrent;1
2037;TCP;Unknown;1
2037;UDP;Unknown;1
2053;TCP;RDP;1
2054;UDP;STUN;4
2086;UDP;Signal;1
2099;TCP;TLS;4
2099;TCP;Unknown;1
2104;UDP;STUN;1
2164;UDP;BitTorrent;1
2173;TCP;Unknown;3
2173;UDP;BitTorrent;1
2178;TCP;Unknown;3
2178;UDP;BitTorrent;1
2210;TCP;Unknown;3
2210;UDP;BitTorrent;1
2221;TCP;HTTP;6
2221;TCP;Unknown;2
2222;TCP;BitTorrent;16
2222;TCP;LotusNotes;3
2222;TCP;MQTT;3
2222;TCP;MsSQL-TDS;3
2222;TCP;Unknown;61213
2270;UDP;BitTorrent;1
2271;UDP;BitTorrent;1
2284;UDP;BitTorrent;1
2317;TCP;Unknown;1
2317;UDP;BitTorrent;1
2336;UDP;BitTorrent;1
2338;UDP;BitTorrent;1
2343;TCP;Unknown;3
2343;UDP;BitTorrent;1
2344;UDP;BitTorrent;1
2351;UDP;STUN;1
2358;TCP;Unknown;1
2358;UDP;Unknown;1
2367;UDP;Signal;1
2383;TCP;Unknown;2
2385;UDP;BitTorrent;1
2395;UDP;BitTorrent;1
2406;UDP;BitTorrent;1
2413;TCP;Unknown;1
2413;UDP;BitTorrent;1
2476;TCP;Unknown;1
2476;UDP;Unknown;1
2490;UDP;BitTorrent;1
2492;UDP;BitTorrent;1
2507;TCP;RDP;1
2508;UDP;Signal;1
2527;UDP;BitTorrent;1
2545;TCP;RDP;1
2551;UDP;BitTorrent;1
2590;TCP;Unknown;1
2590;UDP;BitTorrent;1
2591;TCP;RDP;1
2592;UDP;STUN;1
2643;UDP;BitTorrent;3
